Date,TSLA.Adjusted,DJI.Adjusted,CL.Adjusted,GCF.Adjusted
1/3/2017,43.397999,19881.75977,57.625496,1160.400024
1/4/2017,45.397999,19942.16016,58.25856,1163.800049
1/5/2017,45.349998,19899.28906,58.777313,1179.699951
1/6/2017,45.801998,19963.80078,59.225735,1171.900024
1/9/2017,46.256001,19887.38086,58.399227,1183.5
1/10/2017,45.973999,19855.5293,57.493622,1184.199951
1/11/2017,45.945999,19954.2793,57.423279,1195.599976
1/12/2017,45.917999,19891,57.898064,1198.900024
1/13/2017,47.549999,19885.73047,57.924446,1195.300049
1/17/2017,47.116001,19826.76953,58.997112,1212
1/18/2017,47.672001,19804.7207,59.66534,1211.300049
1/19/2017,48.751999,19732.40039,59.285088,1200.900024
1/20/2017,48.945999,19827.25,60.089813,1204.300049
1/23/2017,49.784,19799.84961,59.736092,1215
1/24/2017,50.922001,19912.71094,60.363968,1210.300049
1/25/2017,50.894001,20068.50977,60.514297,1197.300049
1/26/2017,50.501999,20100.91016,60.346279,1189.5
1/27/2017,50.59,20093.7793,57.19809,1188.099976
1/30/2017,50.125999,19971.13086,57.065437,1193.199951
1/31/2017,50.386002,19864.08984,57.109642,1208.599976
2/1/2017,49.848,19890.93945,57.233452,1205.599976
2/2/2017,50.310001,19884.91016,58.082409,1216.699951
2/3/2017,50.265999,20071.46094,58.338875,1218.5
2/6/2017,51.554001,20052.41992,57.914371,1230
2/7/2017,51.495998,20090.28906,58.860607,1234.199951
2/8/2017,52.416,20054.33984,58.887135,1237.599976
2/9/2017,53.84,20172.40039,58.895992,1235.099976
2/10/2017,53.846001,20269.36914,59.886421,1234.400024
2/13/2017,56.119999,20412.16016,59.877586,1224.400024
2/14/2017,56.195999,20504.41016,59.90411,1223.900024
2/15/2017,55.952,20611.85938,60.673477,1231.699951
2/16/2017,53.790001,20619.76953,61.018356,1240
2/17/2017,54.445999,20624.05078,63.653648,1237.599976
2/21/2017,55.478001,20743,64.714844,1237.5
2/22/2017,54.702,20775.59961,64.988968,1232
2/23/2017,51.198002,20810.32031,65.829079,1250.199951
2/24/2017,51.400002,20821.75977,64.865166,1256.900024
2/27/2017,49.245998,20837.43945,64.246155,1257.400024
2/28/2017,49.998001,20812.24023,64.537979,1252.599976
3/1/2017,50.004002,21115.55078,64.962425,1248.900024
3/2/2017,50.096001,21002.9707,65.21006,1231.900024
3/3/2017,50.313999,21005.71094,65.077423,1225.5
3/6/2017,50.242001,20954.33984,65.254295,1224.5
3/7/2017,49.717999,20924.75977,65.192368,1215.099976
3/8/2017,49.374001,20855.73047,64.697151,1208.5
3/9/2017,48.98,20858.18945,64.882858,1202.400024
3/10/2017,48.737999,20902.98047,65.669922,1200.699951
3/13/2017,49.234001,20881.48047,65.351563,1202.400024
3/14/2017,51.599998,20837.36914,65.130455,1201.900024
3/15/2017,51.146,20950.09961,65.386909,1200.099976
3/16/2017,52.41,20934.55078,65.351563,1226.5
3/17/2017,52.299999,20914.61914,65.404587,1229.800049
3/20/2017,52.383999,20905.85938,65.263115,1233.599976
3/21/2017,50.136002,20668.00977,65.17466,1246.099976
3/22/2017,51.001999,20661.30078,65.156998,1249.300049
3/23/2017,50.956001,20656.58008,65.36924,1246.900024
3/24/2017,52.632,20596.7207,65.14817,1248.199951
3/27/2017,54.043999,20550.98047,64.935921,1255.400024
3/28/2017,55.490002,20701.5,65.236565,1255.300049
3/29/2017,55.476002,20659.32031,65.050888,1253.400024
3/30/2017,55.584,20728.49023,64.759056,1245
3/31/2017,55.66,20663.2207,64.723694,1247.300049
4/3/2017,59.703999,20650.21094,64.882858,1250.800049
4/4/2017,60.740002,20689.24023,65.103958,1255
4/5/2017,59,20648.15039,64.962425,1245.400024
4/6/2017,59.740002,20662.94922,64.670601,1250.300049
